transaction_id,amount,hour,day_of_week,merchant_category,transaction_type,location_risk,previous_transactions,avg_transaction_amount,is_international,is_fraud
TXN000001,56.31,22,1,Fuel,POS,Low,4,85.64,0,0
TXN000002,361.21,3,2,Fuel,POS,High,4,115.51,0,0
TXN000003,158.01,17,0,Travel,POS,Low,5,65.01,0,0
TXN000004,109.55,4,0,Electronics,POS,Low,6,96.46,0,0
TXN000005,20.35,15,6,Electronics,POS,Low,5,84.4,0,0
TXN000006,20.35,13,4,Grocery,Online,Low,5,82.75,0,0
TXN000007,7.18,18,3,Electronics,Online,Medium,5,63.28,0,0
TXN000008,241.35,13,2,Restaurant,POS,Low,7,128.76,0,0
TXN000009,110.29,8,1,Restaurant,Online,Low,7,181.14,0,0
TXN000010,147.75,5,6,Grocery,Contactless,Low,8,105.56,0,0
TXN000011,2.5,16,5,Grocery,POS,Low,3,179.74,0,0
TXN000012,420.43,18,0,Electronics,ATM,Low,7,124.83,0,0
TXN000013,214.37,11,0,Travel,POS,Low,3,61.02,0,0
TXN000014,28.64,3,0,Luxury,POS,High,4,122.9,0,0
TXN000015,24.08,15,3,Grocery,Online,Medium,7,96.53,0,0
TXN000016,24.31,10,3,Electronics,POS,Medium,8,130.77,0,0
TXN000017,43.53,21,2,Fuel,POS,Low,7,82.1,0,0
TXN000018,89.27,3,5,Online,POS,Low,6,138.35,0,0
TXN000019,67.86,16,1,Fuel,Contactless,Low,9,55.49,0,0
TXN000020,41.31,7,3,Electronics,POS,Low,7,107.64,0,0
TXN000021,113.56,13,4,Electronics,ATM,Low,4,88.73,0,0
TXN000022,18.03,1,3,Fuel,Online,Low,4,122.82,0,0
TXN000023,41.46,10,0,Restaurant,POS,Medium,9,84.89,1,0
TXN000024,54.75,10,1,Grocery,POS,Medium,6,33.91,0,0
TXN000025,73.07,23,2,Electronics,POS,High,3,61.9,0,0
TXN000026,184.55,21,3,Restaurant,POS,Low,6,85.85,0,0
TXN000027,26.73,23,0,Electronics,POS,Low,5,65.91,0,0
TXN000028,86.64,5,6,Restaurant,POS,Medium,6,124.1,0,1
TXN000029,107.7,20,4,Electronics,POS,Low,1,105.08,0,0
TXN000030,5.71,20,4,Travel,POS,Low,7,48.51,0,0
TXN000031,112.24,13,6,Grocery,Online,Medium,6,97.05,0,0
TXN000032,22.44,9,2,Online,POS,Low,7,66.31,0,0
TXN000033,8.07,7,2,Grocery,Contactless,Medium,6,103.3,0,0
TXN000034,356.84,6,3,Grocery,POS,Low,2,110.79,1,0
TXN000035,404.48,7,2,Luxury,Online,Medium,7,129.85,0,1
TXN000036,198.28,7,5,Online,Contactless,Low,6,111.27,0,0
TXN000037,43.59,22,5,Grocery,POS,Low,4,124.09,0,0
TXN000038,12.33,1,0,Online,Online,Low,4,19.81,0,0
TXN000039,138.33,15,0,Electronics,Online,Low,4,16.55,0,0
TXN000040,69.61,8,0,Restaurant,Contactless,Low,3,83.24,0,0
TXN000041,15.62,12,5,Grocery,Online,Medium,2,91.78,0,0
TXN000042,82.03,22,3,Electronics,POS,Medium,3,138.7,0,0
TXN000043,4.2,11,3,Fuel,Online,Low,7,96.15,0,0
TXN000044,288.05,21,2,Restaurant,Online,Low,5,95.99,0,0
TXN000045,35.93,16,3,Fuel,POS,Low,4,112.91,0,0
